Team Name,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Captain,Bench
McDud,Dan,Saajan,Tom,Rarnott,Liam T,Luke S,Liam T,Luke S
Rarnotts Team,Dan,Saajan,Alfie,Rhys,Rarnott,Meadows,Rarnott,Alfie
Brighton Rock,Zeki,Alfie,Joe,Rarnott,Rhys,Meadows,Meadows,Joe
The Chairman,Dan,Tom,Saajan,Liam T,Rhys,Cam,Tom,Cam
Fight and Win,Zeki,Saajan,Alfie,Liam T,Rhys,Luke S,Liam T,Luke S
DANNY KEDWELLS BARMY ARMY,Dan,Tom,Joe,Rhys,Rarnott,Meadows,Rarnott,Tom
Average Joe,Dan,Saajan,Joe,Rarnott,Liam T,Luke S,Liam T,Joe
beast fc,Dan,Alfie,Saajan,Liam T,Nathan,Meadows,Liam T,Nathan
Wiseguys,Dan,Saajan,Alfie,Liam T,Nathan,Meadows,Liam T,Nathan
Liamel Mcssi,Zeki,Jake,Saajan,Rhys,Liam T,Meadows,Liam T,Jake
Better Call Seoul,Zeki,Saajan,Tom,Liam T,Rarnott,Meadows,Liam T,Tom
Charles Dickins,Zeki,Saajan,Alfie,Rhys,Rarnott,Jay,Rhys,Jay
FC BALLBUSTERBILLING,Zeki,Saajan,Alfie,Rhys,Rarnott,Jay,Saajan,Jay
Bank on Dave,Zeki,Saajan,Alfie,Rhys,Liam T,Cam,Rhys,Saajan
TLD FC,Zeki,Alfie,Saajan,Liam T,Charile,Jay,Jay,Charile
